index,row,col,radius_px,diameter_px,stenosis
0,181,126,1.0,2.0,0.0
1,181,127,2.0,4.0,0.0
2,181,128,3.0,6.0,0.0
3,181,129,4.0,8.0,0.0
4,181,130,5.0,10.0,0.0
5,181,131,6.0,12.0,0.0
6,181,132,7.0,14.0,0.0
7,181,133,8.0,16.0,0.0
8,181,134,9.0,18.0,0.0
9,180,135,10.0,20.0,0.0
10,179,136,11.0,22.0,0.0
11,178,137,12.0,24.0,0.0
12,178,138,12.041594578792296,24.08318915758459,0.0
13,178,139,12.0,24.0,0.003454241755120435
14,178,140,12.0,24.0,0.003454241755120435
15,177,141,12.0,24.0,0.003454241755120435
16,177,142,12.0,24.0,0.003454241755120435
17,177,143,12.0,24.0,0.003454241755120435
18,177,144,12.041594578792296,24.08318915758459,0.0
19,177,145,12.0,24.0,0.003454241755120435
20,177,146,12.0,24.0,0.003454241755120435
21,177,147,12.0,24.0,0.003454241755120435
22,177,148,12.0,24.0,0.003454241755120435
23,177,149,12.0,24.0,0.003454241755120435
24,177,150,12.0,24.0,0.003454241755120435
25,177,151,12.0,24.0,0.003454241755120435
26,177,152,12.0,24.0,0.003454241755120435
27,176,153,12.041594578792296,24.08318915758459,0.0
28,176,154,12.165525060596439,24.331050121192877,0.0
29,176,155,12.36931687685298,24.73863375370596,0.0
30,176,156,12.649110640673518,25.298221281347036,0.0
31,176,157,13.0,26.0,0.0
32,176,158,13.0,26.0,0.0
33,176,159,13.038404810405298,26.076809620810597,0.0
34,176,160,13.038404810405298,26.076809620810597,0.0
35,175,161,12.165525060596439,24.331050121192877,0.06694682075772473
36,174,162,11.40175425099138,22.80350850198276,0.12552536780479395
37,173,163,10.770329614269007,21.540659228538015,0.1739534267509668
38,172,164,10.198039027185569,20.396078054371138,0.21784611112495722
39,171,165,9.486832980505138,18.973665961010276,0.2723931248910011
40,171,166,9.219544457292887,18.439088914585774,0.29289321881345254
41,170,167,9.0,18.0,0.30973151003736665
42,170,168,8.602325267042627,17.204650534085253,0.34023176975011993
43,169,169,8.246211251235321,16.492422502470642,0.3675444679663241
44,169,170,8.54400374531753,17.08800749063506,0.3447048262760649
45,168,171,8.0,16.0,0.3864280089221037
46,168,172,8.0,16.0,0.3864280089221037
47,168,173,8.06225774829855,16.1245154965971,0.3816530575991578
48,168,174,8.06225774829855,16.1245154965971,0.3816530575991578
49,168,175,8.0,16.0,0.3864280089221037
50,167,176,8.0,16.0,0.3864280089221037
51,167,177,8.0,16.0,0.3864280089221037
52,167,178,7.615773105863909,15.231546211727817,0.41589686647969837
53,166,179,7.280109889280518,14.560219778561036,0.44164105999603365
54,166,180,7.615773105863909,15.231546211727817,0.41589686647969837
55,166,181,7.211102550927978,14.422205101855956,0.44693368124502786
